weight;word
10;follow
10;time
10;day
10;link
10;bio
10;love
10;covid-19
10;people
10;pandemic
10;life
10;home
10;mask
10;today
10;2020
9;social
9;stay
9;dm
9;good
9;order
9;lockdown
9;work
9;happy
9;safe
9;share
9;free
9;post
9;year
9;it
9;days
9;masks
9;things
9;you
9;online
9;covid
9;great
9;video
9;whatsapp
9;week
9;face
9;feel
9;family
9;health
9;check
9;support
9;friends
9;school
9;beautiful
9;live
9;
9;tag
9;now
9;call
9;size
9;times
9;hope
9;place
9;virus
9;casa
9;august
9;full
9;wear
9;distancing
9;find
9;food
9;info
9;me
9;visit
9;long
9;distance
9;ready
9;instagram
9;coronavirus
9;join
9;fun
9;amazing
9;start
9;gelato
9;open
9;us
8;sempre
8;shop
8;contact
8;making
8;care
8;quarantine
8;working
8;months
8;art
8;lot
8;enjoy
8;kids
8;story
8;years
8;summer
8;delivery
8;black
8;in
8;click
8;book
8;set
8;night
8;special
8;website
8;business
8;read
8;photo
8;weekend
8;morning
8;hard
8;alle
8;cioccolato
8;100%
8;small
8;normal
8;coming
8;thing
8;big
8;community
8;real
8;team
8;daily
8;youtube
8;perfect
8;hand
8;price
8;god
8;more
8;music
8;pandemia
8;remember
8;safety
8;parte
8;mind
8;watch
8;super
8;healthy
8;followers
8;learn
8;top
8;started
8;tutto
8;cases
8;tutti
8;house
8;experience
8;easy
8;agosto
8;facebook
8;corona
8;add
8;details
8;change
8;positive
8;person
8;september
8;feeling
8;dal
8;virtual
8;quality
8;birthday
8;box
8;wearing
8;oggi
8;casos
8;body
8;guys
8;local
8;learning
8;wa
8;this
8;friend
8;emotion
8;water
8;up
8;sunday
8;children
8;design
8;forget
8;out
8;heart
8;wait
8;high
8;friday
8;lives
8;hands
8;dalle
8;foto
8;store
8;space
8;city
8;favorite
8;spread
8;weeks
8;nel
8;loved
8;news
8;send
8;living
8;state
8;saturday
